region,asset,listed,name,symbol,update_dttm,last_page,summary,sector,industry,forum
US,Topics,NYSE,Abbott Laboratories,ABT,20221230 222822,,"{'company': ['Abbott Laboratories'], 'details': ['Abbott'], 'execs': ['Robert Ford', 'Ford']}",Healthcare,Medical Devices,"{'messageBoardId': 'finmb_247483', 'uuid': '5f9c82b0-139d-3f8f-b30c-efd7ee9ccdcf'}"
US,Topics,NASDAQ,Arch Capital Group Ltd.,ACGL,20221230 222822,,"{'company': ['Arch Capital Group Ltd.'], 'details': ['Arch Capital Group', 'Arch Capital', 'Watford Holdings', 'Watford Re', 'ACGL'], 'execs': ['Marc Grandisson', 'Grandisson']}",Financial Services,Insurance—Diversified,"{'messageBoardId': 'finmb_346919', 'uuid': 'a6151c27-5d10-37bc-a747-822f682686a5'}"
US,Topics,NASDAQ,"Acadia Healthcare Company, Inc.",ACHC,20221230 222822,,"{'company': ['Acadia Healthcare Company, Inc.'], 'details': [], 'execs': []}",Healthcare,Medical Care Facilities,"{'messageBoardId': 'finmb_26259736', 'uuid': '5085729c-6713-3ae3-b51c-f1e9ecb5ab59'}"
US,Topics,NYSE,"Albertsons Companies, Inc.",ACI,20230109 155012,,"{'company': ['Albertsons Companies, Inc.'], 'details': ['Albertsons Companies', 'Haggen', 'Randalls', 'Carrs', 'Jewel-Osco', ""Balducci's Food Lovers Market"", 'Albertsons', 'Tom Thumb', 'Star Market', 'Kings Food Markets', 'Primo Taglio', 'Lucerne Dairy Farms', 'Waterfront BISTRO'], 'execs': ['Vivekanan Sankaran', 'Sankaran']}",Consumer Defensive,Grocery Stores,"{'messageBoardId': 'finmb_317807696', 'uuid': '545ca7cb-d18e-305f-8cc3-73a7a70698d8'}"
US,Topics,NYSE,AECOM,ACM,20230102 174108,,"{'company': ['AECOM'], 'details': ['AECOM Capital', 'ACAP'], 'execs': ['Troy Rudd', 'Rudd']}",Industrials,Engineering & Construction,"{'messageBoardId': 'finmb_701179', 'uuid': '0d8f9808-0295-3b40-88fa-9e3d5de6d587'}"
US,Topics,NYSE,Accenture plc,ACN,20230110 081530,,"{'company': ['Accenture'], 'details': [], 'execs': ['Julie Spellman Sweet']}",Technology,Information Technology Services,"{'messageBoardId': 'finmb_972190', 'uuid': '64bf532c-0542-3794-9f22-7d6062a2458b'}"
US,Topics,NASDAQ,Adobe Inc.,ADBE,20230109 085126,,"{'company': ['Adobe Inc.', 'Adobe Systems Incorporated'], 'details': ['Adobe Systems', 'Adobe', 'Acrobat', 'Photoshop', 'Illustrator'], 'execs': ['Shantanu Narayen', 'Narayen']}",Technology,Software—Infrastructure,"{'messageBoardId': 'finmb_24321', 'uuid': 'bccf427f-30a1-3360-9ce4-c77a8198c902'}"
US,Topics,NASDAQ,"Analog Devices, Inc.",ADI,20230109 092629,,"{'company': ['Analog Devices, Inc.'], 'details': ['Analog Devices', 'ADI'], 'execs': ['Vincent Roche', 'Roche']}",Technology,Semiconductors,"{'messageBoardId': 'finmb_251411', 'uuid': 'd98d9168-137c-3f9c-afb4-adc56ba055f1'}"
US,Topics,NYSE,Archer-Daniels-Midland Company,ADM,20230109 100127,,"{'company': ['Archer-Daniels-Midland Company'], 'details': ['Archer-Daniels-Midland'], 'execs': ['Juan Ricardo Luciano', 'Luciano']}",Consumer Defensive,Farm Products,"{'messageBoardId': 'finmb_251704', 'uuid': '6fb4f229-92a0-3164-b772-67fde5477248'}"
US,Topics,NASDAQ,"Automatic Data Processing, Inc.",ADP,20230109 103625,,"{'company': ['Automatic Data Processing, Inc.', 'ADP'], 'details': ['ADP TotalSource', 'Automatic Data Processing'], 'execs': ['Carlos Rodriguez', 'Rodriguez']}",Industrials,Staffing & Employment Services,"{'messageBoardId': 'finmb_126269', 'uuid': 'a771a5a3-7055-3bcd-81f6-9ccb77ac9a9b'}"
US,Topics,NASDAQ,"Autodesk, Inc.",ADSK,20230109 111055,,"{'company': ['Autodesk, Inc.'], 'details': ['Autodesk', 'AutoCAD', '3ds Max', 'AutoCAD LT', 'AutoCAD Civil 3D', 'Autodesk Build', 'Fusion 360', 'Maya'], 'execs': ['Andrew Anagnost', 'Anagnost']}",Technology,Software—Application,"{'messageBoardId': 'finmb_119902', 'uuid': '6806dff3-3571-369c-b858-2ab23bccc502'}"
US,Topics,NYSE,ADT Inc.,ADT,20230109 114742,,"{'company': ['ADT Inc.'], 'details': [], 'execs': []}",Industrials,Security & Protection Services,"{'messageBoardId': 'finmb_33386', 'uuid': '62069089-c3b8-39a7-8b83-7620d51b7f78'}"
US,Topics,NYSE,Ameren Corporation,AEE,20230109 122241,,"{'company': ['Ameren Corporation'], 'details': ['ATXI', 'Ameren Missouri', 'Ameren Transmission Company', 'Ameren Transmission', 'Ameren Illinois Electric Distribution', 'Ameren Illinois Natural Gas', 'Ameren', 'Ameren Illinois'], 'execs': ['Martin Lyons', 'Lyons']}",Utilities,Utilities—Regulated Electric,"{'messageBoardId': 'finmb_373264', 'uuid': 'cddf641c-bbf4-38c5-85fd-deeb9482fea8'}"
US,Topics,NYSE,Aegon N.V.,AEG,20230109 125733,,"{'company': ['Aegon N.V.', 'Aegon'], 'details': ['Aegon Asset Management'], 'execs': ['Lard Friese', 'Friese']}",Financial Services,Insurance—Diversified,"{'messageBoardId': 'finmb_247906', 'uuid': 'fa4c72bf-54d8-3b25-b1d6-80228088fc24'}"
US,Topics,NYSE,Agnico Eagle Mines Limited,AEM,20230109 133243,,"{'company': ['Agnico Eagle Mines Limited', 'Agnico Eagle'], 'details': ['Agnico Eagle Mines', 'Goldex', 'Meliadine', 'LaRonde Complex', 'Meadowbank Complex'], 'execs': ['Sean Boyd', 'Boyd']}",Basic Materials,Gold,"{'messageBoardId': 'finmb_248095', 'uuid': '69556bae-4514-39dd-bda4-69eac820fd16'}"
US,Topics,NASDAQ,"American Electric Power Company, Inc.",AEP,20230109 140624,,"{'company': ['American Electric Power Company, Inc.', 'AEP'], 'details': ['American Electric Power Company', 'American Electric Power', 'AEP Transmission Holdco', 'AEP Transmission'], 'execs': ['Nicholas Akins', 'Akins']}",Utilities,Utilities—Regulated Electric,"{'messageBoardId': 'finmb_135470', 'uuid': '31a5c29e-9305-3849-a05f-4a7df17372c6'}"
US,Topics,NYSE,AerCap Holdings N.V.,AER,20230109 144240,,"{'company': ['AerCap Holdings N.V.'], 'details': ['AerCap Holdings', 'AerCap'], 'execs': ['Aengus Kelly', 'Kelly']}",Industrials,Rental & Leasing Services,"{'messageBoardId': 'finmb_896178', 'uuid': 'e55cb1d2-2f8e-3019-b9e4-082692b2a39d'}"
US,Topics,NYSE,The AES Corporation,AES,20221230 152237,,"{'company': ['The AES Corporation'], 'details': ['AES Corporation', 'AES'], 'execs': ['Andres Gluski', 'Gluski']}",Utilities,Utilities—Diversified,"{'messageBoardId': 'finmb_324490', 'uuid': 'ef319db6-f808-3fa2-98f1-1248cd3239a7'}"
US,Topics,NYSE,"American Financial Group, Inc.",AFG,20221230 155733,,"{'company': ['American Financial Group'], 'details': ['Great American Insurance Group'], 'execs': ['Craig Lindner', 'Lindner']}",Financial Services,Insurance—Property & Casualty,"{'messageBoardId': 'finmb_1008249', 'uuid': '0283ea19-986f-36f3-941d-b1259ad58835'}"
US,Topics,NYSE,Aflac Incorporated,AFL,20230102 174108,,"{'company': ['Aflac Incorporated'], 'details': ['American Family Life Assurance Company of Columbus', 'Aflac U.S.', 'Aflac Japan', 'Aflac', 'Aflac Life Insurance Japan', 'Aflac U.S', 'Aflac US'], 'execs': ['Daniel Amos', 'Amos']}",Financial Services,Insurance—Life,"{'messageBoardId': 'finmb_250178', 'uuid': '01f4ad68-2aaa-3fc1-a133-155881ac8929'}"
US,Topics,NASDAQ,"Affirm Holdings, Inc.",AFRM,20230110 081530,,"{'company': ['Affirm Holdings, Inc.'], 'details': ['Affirm Holdings', 'Affirm', 'Affirm Debit+'], 'execs': ['Max Levchin', 'Levchin']}",Technology,Software—Infrastructure,"{'messageBoardId': 'finmb_695381746', 'uuid': '8205d70a-947d-38c0-b937-121c487fa2bd'}"
US,Topics,NYSE,AGCO Corporation,AGCO,20230109 085126,,"{'company': ['AGCO Corporation'], 'details': [], 'execs': []}",Industrials,Farm & Heavy Construction Machinery,"{'messageBoardId': 'finmb_317519', 'uuid': '8311e179-5d2e-3b27-8096-b2994bbbbb08'}"
US,Topics,NYSE,"agilon health, inc.",AGL,20230109 092629,,"{'company': ['agilon health, inc.'], 'details': ['agilon health', 'agilon'], 'execs': ['Steven Sell', 'Sell']}",Healthcare,Medical Care Facilities,"{'messageBoardId': 'finmb_412327965', 'uuid': 'ec8dc9de-6286-3456-9b16-d50e453d678e'}"
US,Topics,NASDAQ,AGNC Investment Corp.,AGNC,20230109 100127,,"{'company': ['AGNC Investment Corp.'], 'details': [], 'execs': []}",Real Estate,REIT—Mortgage,"{'messageBoardId': 'finmb_41018622', 'uuid': 'bd9dcb6b-e979-3e12-959d-30efa2c13c11'}"
US,Topics,NYSE,"Avangrid, Inc.",AGR,20230109 103625,,"{'company': ['Avangrid, Inc.'], 'details': ['Avangrid', 'Avangrid Renewables', 'Avangrid Networks'], 'execs': ['Pedro Azagra Blazquez', 'Blazquez']}",Utilities,Utilities—Regulated Electric,"{'messageBoardId': 'finmb_291586', 'uuid': 'f789016f-11d3-3013-849f-5517794dbe86'}"
US,Topics,NYSE,"American International Group, Inc.",AIG,20230109 111055,,"{'company': ['American International Group, Inc.'], 'details': ['American International Group', 'AIG'], 'execs': ['Peter Zaffino', 'Zaffino']}",Financial Services,Insurance—Diversified,"{'messageBoardId': 'finmb_250388', 'uuid': '00364109-56c8-328a-a91c-6092045edb5f'}"
US,Topics,NYSE,"Assurant, Inc.",AIZ,20230109 114742,,"{'company': ['Assurant, Inc.'], 'details': [], 'execs': []}",Financial Services,Insurance—Specialty,"{'messageBoardId': 'finmb_4026111', 'uuid': '89b06828-ecb1-357b-8859-57b659e60b4b'}"
US,Topics,NYSE,Arthur J. Gallagher & Co.,AJG,20230109 122241,,"{'company': ['Arthur J. Gallagher & Co.'], 'details': ['Arthur J. Gallagher'], 'execs': ['Patrick Gallagher', 'Gallagher']}",Financial Services,Insurance Brokers,"{'messageBoardId': 'finmb_252186', 'uuid': '661a5b56-e520-3f3b-9240-f02fe4684c8e'}"
US,Topics,NASDAQ,"Akamai Technologies, Inc.",AKAM,20230109 125733,,"{'company': ['Akamai Technologies, Inc.'], 'details': ['Akamai Technologies', 'Akamai MFA', 'Kona Site Defender', 'EdgeKV', 'Edge DNS'], 'execs': ['Thomson Leighton', 'Leighton']}",Technology,Software—Infrastructure,"{'messageBoardId': 'finmb_24522', 'uuid': '349ac0eb-b982-3d38-abe9-be5d74e7cfe5'}"
US,Topics,NYSE,Albemarle Corporation,ALB,20230109 133243,,"{'company': ['Albemarle Corporation'], 'details': ['Albemarle'], 'execs': ['Jerry Kent Masters', 'Masters']}",Basic Materials,Specialty Chemicals,"{'messageBoardId': 'finmb_18671', 'uuid': 'e3252e1a-8c33-330a-a3fa-c99574706989'}"
US,Topics,NYSE,Alcon Inc.,ALC,20230109 140624,,"{'company': ['Alcon AG'], 'details': ['Alcon'], 'execs': ['David Endicott', 'Endicott']}",Healthcare,Medical Instruments & Supplies,"{'messageBoardId': 'finmb_694234', 'uuid': '56c0bc0e-4758-3068-b969-fbc9797b4361'}"
US,Topics,NASDAQ,"Align Technology, Inc.",ALGN,20230109 144240,,"{'company': ['Align Technology, Inc.'], 'details': ['Align Technology', 'iTero', 'Invisalign Go', 'Invisalign Go Plus', 'Invisalign Express', 'Invisalign Comprehensive', 'Invisalign First', 'Invisalign Moderate', 'Invisalign Lite'], 'execs': ['Joseph Hogan', 'Hogan']}",Healthcare,Medical Devices,"{'messageBoardId': 'finmb_24568', 'uuid': '9e9b4176-3211-32f0-9c92-47cd8723fc54'}"
US,Topics,NYSE,The Allstate Corporation,ALL,20221230 152237,,"{'company': ['The Allstate Corporation'], 'details': ['Allstate Corporation', 'Allstate', 'Allstate Protection', 'Allstate Dealer Services', 'Allstate Roadside', 'Allstate Insurance Company', 'Allstate Insurance', 'Allstate Health and Benefits', 'Allstate Corporate', 'Arity', 'Allstate Identity Protection', 'Allstate Protection Plans'], 'execs': ['Thomas Joseph Wilson', 'Wilson']}",Financial Services,Insurance—Property & Casualty,"{'messageBoardId': 'finmb_22666093', 'uuid': '42d0996b-9893-37c0-a7cd-634db653f5b3'}"
US,Topics,NYSE,Allegion plc,ALLE,20221230 155733,,"{'company': ['Allegion Public Limited Company'], 'details': ['Allegion'], 'execs': ['David Petratis', 'Petratis']}",Industrials,Security & Protection Services,"{'messageBoardId': 'finmb_108443', 'uuid': '640a9599-5956-3996-9dc3-b7b8e0bd4d9d'}"
US,Topics,NYSE,Ally Financial Inc.,ALLY,20230102 174108,,"{'company': ['Ally Financial Inc.'], 'details': ['Ally Financial', 'Ally Home mortgage', 'Ally Bank', 'Ally Invest Securities', 'Ally Invest Advisors', 'Ally Invest Forex', 'Ally Servicing'], 'execs': ['Jeffrey J Brown', 'Brown']}",Financial Services,Credit Services,"{'messageBoardId': 'finmb_955855', 'uuid': '8a909f5e-e918-3002-951c-d3779f9fbb0b'}"
US,Topics,NASDAQ,"Alnylam Pharmaceuticals, Inc.",ALNY,20230110 081530,,"{'company': ['Alnylam Pharmaceuticals, Inc.'], 'details': ['Alnylam Pharmaceuticals', 'Alnylam', 'GIVLAARI', 'STArs', 'OXLUMO', 'Leqvio'], 'execs': ['Yvonne Greenstreet', 'Greenstreet']}",Healthcare,Biotechnology,"{'messageBoardId': 'finmb_2796659', 'uuid': 'b8c27535-96f9-31bb-99f8-fad7a2cefe4b'}"
US,Topics,NYSE,"Autoliv, Inc.",ALV,20230109 085126,,"{'company': ['Autoliv, Inc.'], 'details': ['Autoliv AB', 'Autoliv', 'Autoliv ASP'], 'execs': ['Mikael Bratt', 'Bratt']}",Consumer Cyclical,Auto Parts,"{'messageBoardId': 'finmb_361581', 'uuid': '2c0d4446-3e8b-30bc-b3df-d339e7b4f1f0'}"
US,Topics,NASDAQ,"Applied Materials, Inc.",AMAT,20230109 092629,,"{'company': ['Applied Materials, Inc.'], 'details': ['Applied Materials', 'Applied Global Services'], 'execs': ['Gary Dickerson', 'Dickerson']}",Technology,Semiconductor Equipment & Materials,"{'messageBoardId': 'finmb_251230', 'uuid': '58114a02-d74c-3082-9d47-779374f1ba6b'}"
US,Topics,NYSE,"AMC Entertainment Holdings, Inc.",AMC,20230109 100127,,"{'company': ['AMC Entertainment Holdings'], 'details': ['AMC Entertainment', 'AMC Theater', 'AMC DINE-IN', 'AMC CLASSIC', 'AMC'], 'execs': ['Adam Aron', 'Aron']}",Communication Services,Entertainment,"{'messageBoardId': 'finmb_34874958', 'uuid': '7c52ed5b-8820-37df-990b-5a784bac64b3'}"
US,Topics,NYSE,Amcor plc,AMCR,20230109 103625,,"{'company': ['Amcor'], 'details': [], 'execs': ['Ronald Stephen Delia', 'Delia']}",Consumer Cyclical,Packaging & Containers,"{'messageBoardId': 'finmb_401715', 'uuid': 'a664bbf5-809e-3649-bcb0-d71c5bb3a910'}"
US,Topics,NASDAQ,"Advanced Micro Devices, Inc.",AMD,20230109 111055,,"{'company': ['Advanced Micro Devices, Inc.'], 'details': ['AMD', 'Advanced Micro Devices'], 'execs': ['Lisa Su', 'Su']}",Technology,Semiconductors,"{'messageBoardId': 'finmb_168864', 'uuid': '48af4341-f745-363f-945f-a838eeabb062'}"
US,Topics,NYSE,"AMETEK, Inc.",AME,20230109 114742,,"{'company': ['AMETEK'], 'details': [], 'execs': ['David Zapico', 'Zapico']}",Industrials,Specialty Industrial Machinery,"{'messageBoardId': 'finmb_31860', 'uuid': '51e0f2d7-4a9b-3046-bc65-f01426903258'}"
US,Topics,NASDAQ,Amgen Inc.,AMGN,20230109 122241,,"{'company': ['Amgen Inc.'], 'details': ['Amgen', 'Sensipar/Mimpara', 'KYPROLIS', 'Corlanor', 'Neulasta', 'Erenumab', 'NEUPOGEN', 'IMLYGIC', 'EPOGEN', 'XGEVA', 'Prolia', 'Vectibix', 'Nplate', 'BLINCYTO', 'Aranesp', 'Repatha'], 'execs': ['Robert Bradway', 'Bradway']}",Healthcare,Drug Manufacturers—General,"{'messageBoardId': 'finmb_24816', 'uuid': '9376b97e-b428-3231-ba0b-142b20481cb4'}"
US,Topics,NYSE,American Homes 4 Rent,AMH,20230109 125733,,"{'company': ['American Homes 4 Rent'], 'details': ['American Residential GP', 'ARPI REIT', 'American Homes 4 Rent SFR'], 'execs': ['David Singelyn', 'Singelyn']}",Real Estate,REIT—Residential,"{'messageBoardId': 'finmb_241397401', 'uuid': 'ef72c09b-acb6-3637-8238-4c46c149c0aa'}"
US,Topics,NYSE,"Ameriprise Financial, Inc.",AMP,20230109 133243,,"{'company': ['Ameriprise Financial, Inc.'], 'details': ['Ameriprise Financial', 'RiverSource', 'Columbia Threadneedle Investments'], 'execs': ['James Cracchiolo', 'Cracchiolo']}",Financial Services,Asset Management,"{'messageBoardId': 'finmb_4165019', 'uuid': '9c37cba6-d890-3746-852b-1fb10c11ab1b'}"
US,Topics,NYSE,American Tower Corporation,AMT,20230109 140624,,"{'company': ['American Tower Corporation'], 'details': ['American Tower'], 'execs': ['Thomas Bartlett', 'Bartlett']}",Real Estate,REIT—Specialty,"{'messageBoardId': 'finmb_24766', 'uuid': '93037c7a-3d3b-3a0c-bac0-a08bc747c258'}"
US,Topics,NYSE,"América Móvil, S.A.B. de C.V.",AMX,20230109 144240,,"{'company': ['America Movil'], 'details': ['Claro'], 'execs': ['Daniel Hajj Aboumrad', 'Aboumrad']}",Communication Services,Telecom Services,"{'messageBoardId': 'finmb_813607', 'uuid': '49dedd4e-b492-3d17-943f-dfb022f26f2d'}"
US,Topics,NASDAQ,"Amazon.com, Inc.",AMZN,20221230 152237,,"{'company': ['Amazon.com, Inc.'], 'details': ['Amazon.com', 'Amazon', 'Alexa', 'AWS', 'Echo', 'Ring', 'Kindle', 'Amazon Prime', 'Prime Video', 'Amazon Web Services', 'Fire TV', 'Audible', 'Amazon Music', 'eero', 'IMDb', 'AmazonSmile', 'Whole Foods Market', 'Whole Foods', 'Amazon Go', 'Amazon Fresh', 'Amazon One'], 'execs': ['Andrew Jassy', 'Jassy', 'Andy Jassy']}",Consumer Cyclical,Internet Retail,"{'messageBoardId': 'finmb_390225', 'uuid': 'c0943023-1bdf-3272-9142-50ee62caa980'}"
US,Topics,NYSE,"Arista Networks, Inc.",ANET,20221230 155733,,"{'company': ['Arista Networks, Inc.'], 'details': ['Arista Networks'], 'execs': ['Jayshree Ullal', 'Ullal']}",Technology,Computer Hardware,"{'messageBoardId': 'finmb_734078', 'uuid': 'ea273a00-cab2-3665-ab4e-09f0c3905677'}"
US,Topics,NASDAQ,"ANSYS, Inc.",ANSS,20230102 174108,,"{'company': ['ANSYS, Inc.'], 'details': ['ANSYS', 'ANSYS Workbench', 'SCADE'], 'execs': ['Ajei Gopal', 'Gopal']}",Technology,Software—Application,"{'messageBoardId': 'finmb_24893', 'uuid': '751c4a0c-cc21-3335-8d5e-46c0d38471bd'}"
US,Topics,NYSE,Aon plc,AON,20230110 081530,,"{'company': ['Aon PLC'], 'details': ['Aon', 'Aon InPoint'], 'execs': ['Gregory Case', 'Case']}",Financial Services,Insurance Brokers,"{'messageBoardId': 'finmb_119853', 'uuid': '8157ee25-2066-372a-b32b-76dac18cad86'}"
US,Topics,NYSE,A. O. Smith Corporation,AOS,20230109 085126,,"{'company': ['A. O. Smith Corporation'], 'details': ['A. O. Smith', 'Lochinvar', 'Aquasana'], 'execs': ['Kevin Wheeler', 'Wheeler']}",Industrials,Specialty Industrial Machinery,"{'messageBoardId': 'finmb_997111', 'uuid': '4cc854cc-0565-35cc-abef-bc91f30d07b0'}"
US,Topics,NASDAQ,APA Corporation,APA,20230109 092629,,"{'company': ['APA Corporation'], 'details': ['APA'], 'execs': ['John Christmann', 'Christmann']}",Energy,Oil & Gas E&P,"{'messageBoardId': 'finmb_169838', 'uuid': '73880360-3f51-34f8-ad4c-027748ffae7f'}"
US,Topics,NYSE,"Air Products and Chemicals, Inc.",APD,20230109 100127,,"{'company': ['Air Products and Chemicals, Inc.'], 'details': ['Air Products and Chemicals', 'Air Products'], 'execs': ['Seifollah Ghasemi', 'Ghasemi']}",Basic Materials,Specialty Chemicals,"{'messageBoardId': 'finmb_248356', 'uuid': '7dc5e22e-aca5-37c1-965b-43839084afc6'}"
US,Topics,NYSE,Amphenol Corporation,APH,20230109 103625,,"{'company': ['Amphenol Corporation'], 'details': ['Amphenol', 'Harsh Environment Solutions'], 'execs': ['Richard Adam Norwitt', 'Norwitt']}",Technology,Electronic Components,"{'messageBoardId': 'finmb_24827', 'uuid': 'aa7497c6-f42e-3162-b7c5-c956b99cabf5'}"
US,Topics,NASDAQ,"Apellis Pharmaceuticals, Inc.",APLS,20230109 111055,,"{'company': ['Apellis Pharmaceuticals, Inc.'], 'details': [], 'execs': []}",Healthcare,Biotechnology,"{'messageBoardId': 'finmb_106524288', 'uuid': '0d6245e8-6d8f-3e7c-9153-78020c0f85eb'}"
US,Topics,NYSE,"Apollo Global Management, Inc.",APO,20230109 114742,,"{'company': ['Apollo Global Management, Inc.', 'Tango Holdings, Inc.'], 'details': ['Apollo Global Management', 'Apollo Global'], 'execs': ['Marc Rowan', 'Rowan']}",Financial Services,Asset Management,"{'messageBoardId': 'finmb_18833', 'uuid': '00a9c800-9936-3042-bfd6-448cd911c598'}"
US,Topics,NASDAQ,AppLovin Corporation,APP,20230109 122241,,"{'company': ['AppLovin Corporation'], 'details': ['AppLovin', 'AppDiscovery', 'AppLovin Core Technologies', 'AppLovin Software Platform', 'AXON'], 'execs': ['Adam Foroughi', 'Foroughi']}",Technology,Software—Application,"{'messageBoardId': 'finmb_231651802', 'uuid': '0bdbb2c3-2552-3e98-ad55-ef50ca66d056'}"
US,Topics,NYSE,Aptiv PLC,APTV,20230109 125733,,"{'company': ['Aptiv PLC', 'Delphi Automotive PLC'], 'details': ['Aptiv', 'Delphi Automotive'], 'execs': ['Kevin Clark', 'Clark']}",Consumer Cyclical,Auto Parts,"{'messageBoardId': 'finmb_59502420', 'uuid': 'aed566cb-3b02-3352-9d08-8fed8b11fea9'}"
US,Topics,NYSE,Algonquin Power & Utilities Corp.,AQN,20230109 133243,,"{'company': ['Algonquin Power & Utilities Corp.'], 'details': ['Algonquin Power & Utilities', 'Algonquin Power', 'Algonquin'], 'execs': ['Arun Banskota', 'Banskota']}",Utilities,Utilities—Renewable,"{'messageBoardId': 'finmb_882318', 'uuid': '4b983ed6-0d82-3205-b286-d0798027e674'}"
US,Topics,NYSE,Antero Resources Corporation,AR,20230109 140624,,"{'company': ['Antero Resources Corporation'], 'details': [], 'execs': []}",Energy,Oil & Gas E&P,"{'messageBoardId': 'finmb_4544094', 'uuid': '5b61a1b2-98a0-306e-ba69-33a97e68d763'}"
US,Topics,NASDAQ,Ares Capital Corporation,ARCC,20230109 144240,,"{'company': ['Ares Capital Corporation'], 'details': ['Ares Capital Management LLC', 'Ares Capital Management', 'Ares Capital'], 'execs': ['Robert Kipp', 'Kipp']}",Financial Services,Asset Management,"{'messageBoardId': 'finmb_9771238', 'uuid': 'b5ecd6c1-82ff-3676-876d-1f35fcecacda'}"
